company,city,state,jobtitle,industry,companysize,python,R,SAS,SQL,JAVA,Tableau,C,Perl,Excel,DeepLearning,MATLAB,StatisticalModeling,MachineLearning,HIVE
SeatGeek,New York, NY,Data Scientist,Internet,51-200,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Mastery Charter School,Philadelphia, PA,Science Teacher-IMMEDIATE OPENING,K-12 Education,51-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncommon Schools,New York, NY,Middle School Science Teacher,K-12 Education,1001-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonos,Boston, MA,Senior Data Scientist,Music Production & Distribution,1001-5000,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Aetna,New York, NY,Data Science Analyst,Insurance Carriers,10000+,1,1,1,1,0,0,0,0,0,0,0,0,1,1
Digital Reasoning,Nashville, TN,Data Scientist,Computer Hardware & Software,51-200,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Wink,New York, NY,Data Science & Insights Analyst,Computer Hardware & Software,51-200,1,0,0,1,0,0,0,0,0,0,0,0,1,0
TD Ameritrade,Chicago, IL,"Sr. Analyst, Marketing Data Science",Investment Banking & Asset Management,5001-10000,1,1,1,1,0,0,0,0,0,0,0,0,1,0
TD Ameritrade,Omaha, NE,"Sr. Analyst, Marketing Data Science",Investment Banking & Asset Management,5001-10000,1,1,1,1,0,0,0,0,0,0,0,0,1,0
IZEA,Winter Park, FL,Data Science Intern,Advertising & Marketing,51-200,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eventbrite,Nashville, TN,Data Scientist,Internet,501-1000,1,1,0,1,0,0,0,0,0,0,0,0,0,0
The Broad Institute,Cambridge, MA,Associate Computational Biologist - Data Science,Biotech & Pharmaceuticals,501-1000,0,1,0,0,0,0,0,0,0,0,1,0,1,0
carmax,Richmond, VA,"Manager, Data Science - Pricing & Inventory Systems",Vehicle Dealers,10000+,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Travelers Companies,Hartford, CT,"2VP, Data Solutions Leader",Insurance Carriers,10000+,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Invincea,Arlington, VA,Research Engineer - Data Science,Computer Hardware & Software,51-200,1,1,0,0,1,0,1,0,0,0,1,0,1,0
Triad Retail Media,United States,#N/A,"Director, Data & Decision Sciences",Advertising & Marketing,501-1000,0,1,0,1,0,1,0,0,1,0,0,0,0,0
Booz Allen Hamilton,McLean, VA,"Data Science Analyst, Senior",Consulting,10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novetta,Herndon, VA,Data Scientist,Enterprise Software & Network Solutions,501-1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Credit Sesame,San Francisco, CA,Head of Data Science,Internet,51-200,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harbor Freight Tools,Calabasas, CA,DATA SCIENCE ANALYST,Home Centers & Hardware Stores,10000+,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"Quora, Inc.",Mountain View, CA,Data Science Manager,Internet,51-200,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Expedia,Bellevue, WA,Data Scientist,Internet,10000+,1,1,0,0,1,0,1,0,0,0,0,0,1,0
Smith Hanley Associates,Madison, WI,"Manager, Data Science",Staffing & Outsourcing,1-50,0,1,1,0,0,0,0,0,0,0,0,1,1,0
